"from_geneSymbol","to_geneSymbol","combined_score"
"TK1","RRM2",908
"TK1","NT5M",886
"SLC22A11","SLCO2B1",666
"SLC22A11","ABCG2",760
"ANTXR1","ANTXR2",906
"ANTXR1","FURIN",967
"ANTXR1","PADI4",799
"MGMT","TP53",761
"MGMT","PMS2",677
"MGMT","TIMP3",681
"CCL11","IL3",758
"CCL11","CHRM1",911
"CCL11","IL13",890
"CCL11","CCR5",986
"CCL11","RNASE3",715
"CCL11","ADRBK1",901
"CCL11","CCR2",969
"CCL11","P2RY2",904
"CCL11","DPP4",769
"CCL11","FPR1",906
"CCL11","PRKAR2A",900
"CCL11","CFTR",905
"CCL11","ADRB2",917
"CCL11","MAP2K1",911
"CCL11","IL15",835
"CCL11","CD4",687
"CCL11","CSF2",862
"CCL11","PTGER1",905
"CCL11","CXCL10",991
"CCL11","IFNG",736
"CCL11","ADRA1B",900
"CCL11","SRC",912
"CCL11","F2",908
"CCL11","HRAS",906
"CCL11","AGTR2",900
"CCL11","EDN1",920
"RNASE3","RNASE2",955
"RNASE3","CCL11",715
"RNASE3","PRG2",738
"RNASE3","MPO",867
"LDHAL6B","ADH1C",727
"LDHAL6B","PDHA2",695
"LDHAL6B","ME1",831
"LDHAL6B","ADH7",727
"LDHAL6B","GOT1",950
"LDHAL6B","MDH1",801
"LDHAL6B","ADH5",851
"LDHAL6B","PC",938
"LDHAL6B","PDHB",737
"LDHAL6B","H6PD",892
"LDHAL6B","ME3",852
"LDHAL6B","ME2",923
"LDHAL6B","ALPPL2",693
"LDHAL6B","SORD",747
"LDHAL6B","ADH1B",698
"LDHAL6B","PKLR",927
"LDHAL6B","CTH",834
"LDHAL6B","ADH4",727
"LDHAL6B","CKB",783
"LDHAL6B","G6PD",912
"MAP2K1","F2",919
"MAP2K1","BAD",829
"MAP2K1","PPP2CA",976
"MAP2K1","ITGB3",662
"MAP2K1","FOS",689
"MAP2K1","PTPN11",982
"MAP2K1","CCL11",911
"MAP2K1","HRAS",991
"MAP2K1","CTNNB1",723
"MAP2K1","ARAF",995
"MAP2K1","GAPDH",685
"MAP2K1","IL2RA",907
"MAP2K1","TP53",661
"MAP2K1","CDK5",936
"MAP2K1","BRAF",999
"MAP2K1","PIK3R1",944
"MAP2K1","SRC",955
"MAP2K1","ERBB2",947
"MAP2K1","PEBP1",961
"MAP2K1","EDN1",941
"MAP2K1","IL2RG",905
"MAP2K1","LCK",933
"MAP2K1","RHOA",664
"BCL2L1","HIF1A",674
"BCL2L1","PARK7",979
"BCL2L1","CDK4",665
"BCL2L1","VDAC2",795
"BCL2L1","SNCA",763
"BCL2L1","CHEK1",711
"BCL2L1","SRC",715
"BCL2L1","ERBB2",683
"BCL2L1","AKT1",998
"BCL2L1","CASP3",915
"BCL2L1","CTSL",671
"BCL2L1","CTNNB1",744
"BCL2L1","HRAS",983
"BCL2L1","GAPDH",732
"BCL2L1","ABL1",662
"BCL2L1","MDM2",756
"BCL2L1","TP53",999
"BCL2L1","APAF1",999
"BCL2L1","PRKAR2A",909
"BCL2L1","ALB",671
"BCL2L1","CYCS",996
"BCL2L1","STAT5B",968
"BCL2L1","VDAC3",725
"BCL2L1","BAD",999
"BCL2L1","CTSD",728
"BCL2L1","PTPN11",945
"AGXT","IDE",900
"AGXT","CAT",963
"AGXT","HSD17B4",940
"AGXT","ALDH2",676
"AGXT","SRR",923
"AGXT","ALAS2",913
"AGXT","CRAT",935
"AGXT","FGA",776
"AGXT","GNMT",938
"AGXT","PECR",952
"AGXT","GPT2",934
"AGXT","KIF1A",705
"AGXT","GCSH",956
"AGXT","SHMT1",974
"AGXT","PIPOX",987
"AGXT","FTCD",795
"AGXT","HMGCL",938
"IGF1","IGF1R",999
"IGF1","HIF1A",700
"IGF1","PDGFD",861
"IGF1","ESR2",864
"IGF1","IRS1",997
"IGF1","AKT1",878
"IGF1","ERBB2",934
"IGF1","KLK1",925
"IGF1","SRC",976
"IGF1","REN",792
"IGF1","CASP3",702
"IGF1","TTR",695
"IGF1","FLT4",754
"IGF1","FGFR4",726
"IGF1","FLT3",736
"IGF1","FCGR2A",691
"IGF1","KIT",837
"IGF1","GDNF",704
"IGF1","TP53",706
"IGF1","FGFR3",778
"IGF1","PDGFB",915
"IGF1","FGFR2",789
"IGF1","GAPDH",687
"IGF1","MMP1",946
"IGF1","IGFBP7",973
"IGF1","CTNNB1",968
"IGF1","HRAS",961
"IGF1","MMP9",668
"IGF1","CRP",687
"IGF1","AR",706
"IGF1","PIK3R1",949
"IGF1","TEK",782
"IGF1","ALB",770
"IGF1","PDGFRB",793
"IGF1","IDE",745
"IGF1","F2",939
"IGF1","GHR",861
"IGF1","MSTN",801
"IGF1","PTPN11",944
"IGF1","MET",823
"IGF1","PTPN1",940
"IGF1","ITGB3",968
"PTGER4","PTGS1",705
"PTGER4","SRC",746
"HDAC3","RARG",903
"HDAC3","ABCA1",908
"HDAC3","AKT1",666
"HDAC3","SRC",666
"HDAC3","RB1",974
"HDAC3","RARB",907
"HDAC3","HDAC9",837
"HDAC3","RXRA",929
"HDAC3","RXRB",906
"HDAC3","TP53",759
"HDAC3","AR",861
"HDAC3","RARA",932
"HDAC3","HDAC1",937
"MAT2A","MTHFR",811
"MAT2A","MAT1A",973
"MAT2A","CTH",708
"MAT2A","BHMT2",962
"MAT2A","CCBL1",917
"MAT2A","GNMT",690
"ACHE","HSPG2",737
"ACHE","CAT",677
"ACHE","CHAT",927
"ACHE","ALB",814
"ACHE","APOE",715
"ACHE","BACE1",695
"RNASE2","PRG2",766
"RNASE2","RNASE3",955
"DCXR","ME3",670
"DCXR","SORD",935
"DCXR","SOD1",674
"DCXR","CRYZ",679
"DCXR","AK1",800
"DCXR","MSRA",735
"DCXR","CAT",700
"DCXR","ME2",670
"DCXR","ME1",670
"FNTA","HRAS",953
"FNTA","CASP3",900
"PTGDR","FGFR3",851
"PTGDR","RB1",902
"PTGDR","HDAC1",906
"HINT1","CTNNB1",698
"COL3A1","ITGB3",943
"COL3A1","PDGFRB",705
"COL3A1","LEPRE1",752
"ADORA2B","ADCY1",727
"ADORA2B","SLC29A1",724
"ADORA2B","P2RY12",661
"ADORA2B","NT5E",900
"ADORA2B","ADA",898
"ADORA2B","P2RY2",695
"FASN","LIPT1",806
"FASN","ACACB",988
"FASN","CPT1A",809
"FASN","HMGCR",843
"FASN","ACSS1",673
"FASN","SQLE",661
"FASN","PCK1",692
"FASN","NR1H2",956
"FASN","ACSL4",948
"FASN","RXRA",931
"FASN","RXRB",910
"FASN","AKT1",679
"FASN","PC",669
"FASN","ACSS2",792
"FASN","ACSL1",969
"DTYMK","TYMS",992
"DTYMK","NME1",954
"DTYMK","RRM2",956
"DTYMK","TK1",988
"DTYMK","RRM1",962
"DTYMK","NT5E",900
"DTYMK","NT5M",947
"IRS1","ERBB2",842
"IRS1","AKT1",960
"IRS1","SRC",994
"IRS1","EIF4E",689
"IRS1","NOS3",728
"IRS1","PRLR",843
"IRS1","IGF1",997
"IRS1","PRKCA",686
"IRS1","ITGB3",946
"IRS1","PTPN1",988
"IRS1","KIT",686
"IRS1","GHR",949
"IRS1","PIK3CD",942
"IRS1","PIK3CB",984
"IRS1","FLT4",668
"IRS1","MET",893
"IRS1","ADRBK1",961
"IRS1","PTPN11",999
"IRS1","CTNNB1",969
"IRS1","HRAS",958
"IRS1","RAD51",991
"IRS1","PRKCE",847
"IRS1","SLC2A2",675
"IRS1","GDNF",913
"IRS1","IGF1R",999
"IRS1","IL2RA",906
"IRS1","IL2RG",907
"IRS1","PIK3R1",999
"IRS1","LEPR",823
"IRS1","PDGFRB",732
"IRS1","ALK",837
"IRS1","AR",773
"IRS1","LCK",945
"IL13","IFNAR1",722
"IL13","LAMA5",900
"IL13","IL15",832
"IL13","IL2RA",852
"IL13","MAOA",904
"IL13","CD40LG",699
"IL13","IL11RA",764
"IL13","CD4",879
"IL13","VCAM1",965
"IL13","CSF2",881
"IL13","TLR4",709
"IL13","CXCL10",834
"IL13","IFNG",885
"IL13","ARG2",675
"IL13","CD86",692
"IL13","SERPINB2",728
"IL13","CD40",681
"IL13","IL3",810
"IL13","CCL11",890
"IL13","IFNAR2",700
"IL13","ALB",662
"IL13","LEPR",663
"IL13","IL13RA2",999
"IL13","IL2RG",837
"ADRB2","CHRM1",915
"ADRB2","CCR5",920
"ADRB2","PDE4D",967
"ADRB2","ADRB3",848
"ADRB2","PRKAR2A",919
"ADRB2","CFTR",993
"ADRB2","MDM2",713
"ADRB2","EGLN3",770
"ADRB2","ADRBK2",847
"ADRB2","PTGER1",946
"ADRB2","CACNA1C",989
"ADRB2","EDN1",937
"ADRB2","CCL11",917
"ADRB2","SUCLG2",810
"ADRB2","ADRBK1",994
"ADRB2","P2RY2",924
"ADRB2","FPR1",914
"ADRB2","GRIA1",729
"ADRB2","AGTR1",676
"ADRB2","ERBB2",831
"ADRB2","ADRA1B",915
"ADRB2","SRC",989
"ADRB2","F2",918
"ADRB2","AGTR2",915
"CXCL10","IFNB1",835
"CXCL10","CCL11",991
"CXCL10","IL13",834
"CXCL10","CD86",726
"CXCL10","CSF2",982
"CXCL10","CD4",825
"CXCL10","VCAM1",740
"CXCL10","TLR9",696
"CXCL10","PF4",980
"CXCL10","PPBP",842
"CXCL10","CCR2",891
"CXCL10","DPP4",842
"CXCL10","CD40",672
"CXCL10","CCR5",946
"CXCL10","GAPDH",679
"CXCL10","TLR4",961
"CXCL10","IFNG",872
"CXCL10","IL15",820
"GAA","MGAM",907
"GAA","AMY2A",891
"GAA","HK1",669
"ARF4","SCYL1",687
"ARF4","RHO",996
"FGB","F2",997
"FGB","FGA",999
"FGB","LPA",845
"FGB","FGG",999
"FGB","PEBP1",900
"FGB","ITGA2B",924
"FGB","GC",875
"FGB","PTPN1",908
"FGB","ITGB3",940
"FGB","APOA1",817
"FGB","ALB",733
"FGB","PLAUR",909
"FGB","PLAU",948
"FGB","ORM1",664
"FGB","FTCD",838
"FGB","F10",780
"PRKCE","BRAF",824
"PRKCE","IL2RA",907
"PRKCE","PPP1CC",838
"PRKCE","PRKAR2A",912
"PRKCE","ADCY1",907
"PRKCE","HRAS",944
"PRKCE","VDAC3",828
"PRKCE","LCK",918
"PRKCE","IL2RG",906
"PRKCE","PPIF",852
"PRKCE","VDAC2",856
"PRKCE","KCNJ8",805
"PRKCE","PLA2G6",800
"PRKCE","PRKCA",745
"PRKCE","TRPA1",892
"PRKCE","CACNA1B",684
"PRKCE","IRS1",847
"PRKCE","SLC25A5",829
"PRKCE","SRC",953
"DRD5","SLC6A4",774
"DRD5","DBH",763
"DRD5","SNAP25",700
"DRD5","COMT",681
"GRM5","GRIA1",814
"GRM5","GRIA3",666
"GRM5","HTR1D",704
"GRM5","GRIN1",916
"GRM5","CASR",928
"GRM5","CHRM5",853
"GRM5","GRIA2",813
"GRM5","CHRM1",906
"GRM5","GRIN2C",669
"GRM5","PRNP",983
"GRM5","HTR1A",673
"GRM5","CHRM3",860
"ANTXR2","VWF",720
"ANTXR2","ANTXR1",906
"ANTXR2","FURIN",976
"FOS","FGFR3",922
"FOS","TP53",882
"FOS","PIM1",912
"FOS","POR",900
"FOS","FGFR2",927
"FOS","GAPDH",686
"FOS","HRAS",705
"FOS","CTNNB1",992
"FOS","IGFBP7",912
"FOS","MMP1",666
"FOS","CRYZ",914
"FOS","MMP9",664
"FOS","PTK2",936
"FOS","ALB",671
"FOS","FXYD2",900
"FOS","BTK",927
"FOS","GSTA2",906
"FOS","STAT5B",950
"FOS","HDAC1",789
"FOS","PGF",670
"FOS","CTSK",726
"FOS","SYK",941
"FOS","FCER1G",913
"FOS","MAP2K1",689
"FOS","HIF1A",971
"FOS","ESR2",970
"FOS","LCK",694
"FOS","BIRC5",930
"FOS","AKT1",711
"FOS","RB1",710
"FOS","SRC",936
"FOS","PRKCA",896
"FOS","SDC2",905
"FOS","IFNB1",948
"FGA","APOA1",933
"FGA","SLC2A2",673
"FGA","ALB",857
"FGA","F7",784
"FGA","PLAU",943
"FGA","PLAUR",916
"FGA","F10",780
"FGA","FTCD",831
"FGA","ORM1",714
"FGA","F2",999
"FGA","FGG",999
"FGA","LPA",771
"FGA","PEBP1",906
"FGA","VWF",705
"FGA","AGXT",776
"FGA","GC",860
"FGA","FGB",999
"FGA","ITGA2B",933
"FGA","NR1H4",715
"FGA","PTPN1",908
"FGA","ITGB3",951
"FGA","TTR",854
"CHRM1","CCR5",904
"CHRM1","CHRM3",823
"CHRM1","PTK2",904
"CHRM1","CHRM5",812
"CHRM1","LAMA5",900
"CHRM1","EDN1",910
"CHRM1","PTGER1",906
"CHRM1","ADRBK1",931
"CHRM1","SUCLG2",807
"CHRM1","CCL11",911
"CHRM1","FPR1",908
"CHRM1","P2RY2",911
"CHRM1","LAMA1",907
"CHRM1","LAMC1",900
"CHRM1","ADRB2",915
"CHRM1","F2",900
"CHRM1","SRC",916
"CHRM1","ADRA1B",918
"CHRM1","AGTR2",902
"CHRM1","F2R",811
"CHRM1","GRM5",906
"CHRM1","CHRM2",815
"ADH1B","COMT",944
"ADH1B","GSTM4",733
"ADH1B","ESD",756
"ADH1B","GSTM1",814
"ADH1B","GSTA2",746
"ADH1B","CYP2A6",945
"ADH1B","GSTA1",767
"ADH1B","ALDH2",992
"ADH1B","ALDH1B1",864
"ADH1B","GSTA5",710
"ADH1B","GSTM2",735
"ADH1B","ALDH1A1",892
"ADH1B","CYP26A1",918
"ADH1B","LDHAL6B",698
"ADH1B","RETSAT",903
"ADH1B","GSTO1",662
"ADH1B","ALDH3B2",884
"ADH1B","ADH1C",940
"ADH1B","MAOA",942
"ADH1B","LRAT",916
"ADH1B","ALDH1A3",785
"ADH1B","GSTA4",742
"ADH1B","ALDH3A1",895
"ADRA1B","AGTR2",912
"ADRA1B","F2",908
"ADRA1B","ADRB2",915
"ADRA1B","ADRA1D",866
"ADRA1B","FPR1",905
"ADRA1B","P2RY2",909
"ADRA1B","ADRBK1",942
"ADRA1B","CCL11",900
"ADRA1B","EDN1",930
"ADRA1B","PTGER1",903
"ADRA1B","CCR5",906
"ADRA1B","CHRM1",918
"SDC2","FGFR2",925
"SDC2","B3GAT1",916
"SDC2","HRAS",912
"SDC2","FGFR3",924
"SDC2","PIK3R1",906
"SDC2","HSPG2",839
"SDC2","RHOA",926
"SDC2","CSF2",957
"SDC2","APOE",701
"SDC2","SRC",926
"SDC2","LAMA1",916
"SDC2","NDST1",951
"SDC2","FGFR4",906
"SDC2","CASP3",905
"SDC2","PTPN11",904
"SDC2","FOS",905
"ASL","ASS1",999
"ASL","SDHB",844
"ASL","PCK1",848
"ASL","NAGS",970
"ASL","OTC",979
"ASL","ARG2",962
"ASL","SDHD",803
"ASL","MDH1",839
"ASL","IDH3A",863
"ASL","NOS3",968
"ASL","PC",871
"PDHB","PPARD",916
"PDHB","ME2",924
"PDHB","PCK1",862
"PDHB","ACSS2",894
"PDHB","ME1",929
"PDHB","PDHA1",999
"PDHB","GCSH",917
"PDHB","PDHA2",999
"PDHB","SDHB",708
"PDHB","NDUFS4",757
"PDHB","HIF1AN",679
"PDHB","ACSS1",888
"PDHB","PKLR",956
"PDHB","NDUFB5",663
"PDHB","NDUFA10",870
"PDHB","PC",964
"PDHB","IDH3A",919
"PDHB","MDH1",764
"PDHB","NDUFB10",833
"PDHB","H6PD",889
"PDHB","LDHAL6B",737
"PDHB","NDUFS8",718
"PDHB","ME3",930
"PDHB","RXRA",901
"PDHB","LDHC",733
"PDHB","LIPT1",964
"PDHB","NDUFA8",748
"PDHB","G6PD",866
"PDHB","NDUFA9",687
"P2RY12","ITGA2B",733
"P2RY12","ADORA2B",661
"P2RY12","PPIG",674
"P2RY12","ADORA3",683
"SCN11A","SCN5A",689
"SCN11A","SLC38A3",766
"SCN11A","TRPA1",691
"SCN11A","KCNQ3",693
"CANT1","ENPP1",914
"CANT1","RRM2",685
"CANT1","NT5M",771
"CANT1","GMPR",901
"CANT1","PKLR",914
"CANT1","IMPDH2",901
"CANT1","HPRT1",904
"CANT1","NME1",729
"CANT1","NT5E",785
"CANT1","ATIC",903
"CANT1","RRM1",694
"CANT1","GMPS",902
"CANT1","ADSSL1",900
"HTR1E","SLC25A5",767
"CYCS","SNCA",803
"CYCS","CDK6",684
"CYCS","VDAC2",967
"CYCS","CDK4",692
"CYCS","CYB5A",995
"CYCS","PPIF",959
"CYCS","BCL2L1",996
"CYCS","CASP3",995
"CYCS","CAT",915
"CYCS","BCL2L2",749
"CYCS","AKT1",806
"CYCS","SLC25A5",936
"CYCS","ALB",860
"CYCS","APAF1",999
"CYCS","PPP1CC",907
"CYCS","TP53",859
"CYCS","POR",817
"CYCS","GAPDH",825
"CYCS","SDHB",942
"CYCS","NDUFA8",687
"CYCS","NDUFB5",665
"CYCS","MTHFR",851
"CYCS","PPP2CA",921
"CYCS","BAD",948
"CYCS","SDHD",836
"CYCS","VDAC3",941
"GLUL","GOT1",723
"GLUL","EARS2",872
"GLUL","GLS",974
"GLUL","ALDH4A1",959
"GLUL","GAD2",949
"GLUL","ALDH2",836
"GLUL","FTCD",821
"GLUL","GCSH",827
"GLUL","GAPDH",724
"GLUL","GCLM",841
"GLUL","ALDH1B1",830
"GLUL","GLS2",974
"PTDSS2","PISD",956
"PTDSS2","PLA2G6",669
"PTDSS2","PLD1",932
"F2","ADRBK1",905
"F2","CCL11",908
"F2","TTR",672
"F2","ITGA2B",832
"F2","FPR1",945
"F2","GC",663
"F2","FGB",997
"F2","P2RY2",906
"F2","VWF",982
"F2","IGF1",939
"F2","F8",992
"F2","EDNRA",819
"F2","ADRB2",918
"F2","AGTR1",837
"F2","MTHFR",870
"F2","SRC",945
"F2","ADRA1B",908
"F2","AGTR2",907
"F2","FGA",999
"F2","F2R",998
"F2","PF4",673
"F2","EDNRB",834
"F2","FGG",998
"F2","CCR5",915
"F2","ORM1",704
"F2","GOT1",663
"F2","CHRM1",900
"F2","CRP",872
"F2","F10",941
"F2","BDKRB2",823
"F2","ALB",965
"F2","PLAU",940
"F2","MAP2K1",919
"F2","FURIN",926
"F2","PROS1",935
"F2","PRKAR2A",902
"F2","CFTR",913
"F2","EDN1",951
"F2","HRAS",929
"F2","APOA1",900
"F2","PTGER1",905
"P2RY2","CHRM1",911
"P2RY2","CCL11",904
"P2RY2","ADRBK1",915
"P2RY2","CCR5",906
"P2RY2","FPR1",911
"P2RY2","ADRB2",924
"P2RY2","ADORA3",686
"P2RY2","CDH5",776
"P2RY2","PTGER1",928
"P2RY2","SRC",902
"P2RY2","F2",906
"P2RY2","ADRA1B",909
"P2RY2","AGTR2",900
"P2RY2","EDN1",922
"P2RY2","ADORA2B",695
"GLS2","EARS2",804
"GLS2","FTCD",810
"GLS2","GLS",807
"GLS2","GCLM",849
"GLS2","TP53",965
"GLS2","GCSH",842
"GLS2","GAD2",937
"GLS2","ALDH4A1",950
"GLS2","GLUL",974
"CTSF","CTSD",707
"PPARD","CTNNB1",941
"PPARD","PDHA1",900
"PPARD","CTBP1",912
"PPARD","PDHA2",900
"PPARD","PDHB",916
"PPARD","RXRA",975
"PPARD","RXRB",953
"CASP3","NOS3",682
"CASP3","BAD",948
"CASP3","EIF4E",948
"CASP3","IGF1",702
"CASP3","HMGB1",673
"CASP3","MET",815
"CASP3","GAPDH",883
"CASP3","HRAS",684
"CASP3","CTNNB1",990
"CASP3","RAD51",748
"CASP3","TP53",925
"CASP3","MDM2",965
"CASP3","APAF1",996
"CASP3","TOP1",964
"CASP3","PTK2",953
"CASP3","HSP90B1",672
"CASP3","CYCS",995
"CASP3","ALB",852
"CASP3","AR",692
"CASP3","MMP9",772
"CASP3","ERBB2",696
"CASP3","BIRC5",790
"CASP3","CD4",677
"CASP3","AKT1",935
"CASP3","RB1",973
"CASP3","SRC",689
"CASP3","BCL2L2",723
"CASP3","CAT",779
"CASP3","PRKCA",896
"CASP3","LAMA1",904
"CASP3","SDC2",905
"CASP3","TLR4",690
"CASP3","BCL2L1",915
"CASP3","HIF1A",720
"CASP3","CDK4",865
"CASP3","FNTA",900
"CASP3","CDK6",672
"CASP3","RHOA",957
"CASP3","CHEK1",668
"AQP1","VWF",669
"AQP1","CTNNB1",807
"GSTM1","ADH1C",811
"GSTM1","MGST2",755
"GSTM1","GSTO1",896
"GSTM1","ADH7",771
"GSTM1","ADH5",778
"GSTM1","CYP2A6",831
"GSTM1","CYP2C9",827
"GSTM1","GSTM4",733
"GSTM1","ALDH3B2",714
"GSTM1","ALDH3A1",759
"GSTM1","ADH1B",814
"GSTM1","GSTA4",908
"GSTM1","CYP3A4",842
"GSTM1","GSTA1",759
"GSTM1","MTHFR",699
"GSTM1","ADH4",789
"GSTM1","GSTA2",732
"GSTM1","GPX6",824
"GSTM1","NQO1",740
"GSTM1","GPX2",821
"GSTM1","GSTM2",966
"GSTM1","GPX3",819
"GSTM1","GPX1",893
"GSTM1","GSTA5",704
"TLR8","HSP90B1",689
"TLR8","BTK",885
"TLR8","CD86",738
"TLR8","TLR4",717
"TLR8","CD4",724
"TLR8","IFNB1",710
"TLR8","FPR1",703
"TLR8","FCGR2A",701
"TLR8","FCGR3B",697
"PRG2","RNASE2",766
"PRG2","RNASE3",738
"ADRBK1","ADRBK2",947
"ADRBK1","MDM2",914
"ADRBK1","RHO",712
"ADRBK1","EDN1",942
"ADRBK1","PTGER1",923
"ADRBK1","CCR5",942
"ADRBK1","CHRM1",931
"ADRBK1","CCR2",794
"ADRBK1","PEBP1",987
"ADRBK1","AGTR1",746
"ADRBK1","ADRB2",994
"ADRBK1","IRS1",961
"ADRBK1","AGTR2",916
"ADRBK1","ADRA1B",942
"ADRBK1","SRC",683
"ADRBK1","F2",905
"ADRBK1","HSP90AB1",692
"ADRBK1","SUCLG2",961
"ADRBK1","CCL11",901
"ADRBK1","FPR1",966
"ADRBK1","PRKCA",926
"ADRBK1","P2RY2",915
"TPMT","DPYD",740
"TPMT","IMPDH2",927
"TPMT","HPRT1",947
"TPMT","XDH",937
"TPMT","CYP2C9",730
"TPMT","GMPS",948
"MSRA","CTH",779
"MSRA","DCXR",735
"MSRA","TXNRD1",803
"MSRA","GLRX",704
"MSRA","CAT",718
"AURKB","RRM2",950
"AURKB","WEE1",663
"AURKB","TYMS",937
"AURKB","HSP90AB1",758
"AURKB","TK1",736
"AURKB","PPP1CC",979
"AURKB","TP53",937
"AURKB","TOP2A",985
"AURKB","RAD51",758
"AURKB","CDC25B",709
"AURKB","PEBP1",927
"AURKB","RRM1",662
"AURKB","BIRC5",999
"AURKB","KIF11",993
"AURKB","CHEK1",813
"C1QB","C1R",973
"C1QB","CALR",825
"C1QB","SLCO2B1",716
"C1QB","C1QA",999
"C1QB","C1QC",999
"C1QB","FCER1G",777
"VAMP2","CACNA2D2",917
"VAMP2","SLC18A2",888
"VAMP2","CYB5A",914
"VAMP2","CACNB3",905
"VAMP2","SNCA",994
"VAMP2","GAD2",796
"VAMP2","CACNA1C",927
"VAMP2","CACNA1D",921
"VAMP2","SNAP25",999
"VAMP2","CACNB2",906
"ALDH5A1","PC",864
"ALDH5A1","MDH1",844
"ALDH5A1","PCK1",811
"ALDH5A1","IDH3A",837
"EDNRA","RHOA",932
"EDNRA","ADCY1",903
"EDNRA","EDN1",999
"EDNRA","F2",819
"EDNRA","EDNRB",908
"EDNRA","AKT1",937
"CRAT","HMGCL",936
"CRAT","CPT2",769
"CRAT","PIPOX",915
"CRAT","PECR",928
"CRAT","AGXT",935
"CRAT","CAT",939
"CRAT","IDE",900
"CRAT","HSD17B4",992
"GLTP","MDH1",676
"TYMS","TOP2A",948
"TYMS","TP53",665
"TYMS","RAD51",766
"TYMS","MTHFD2",973
"TYMS","TK1",995
"TYMS","MTHFR",993
"TYMS","GMPS",671
"TYMS","POLA1",938
"TYMS","POLA2",888
"TYMS","DTYMK",992
"TYMS","RRM2",973
"TYMS","DHFR",999
"TYMS","SHMT1",991
"TYMS","ATIC",885
"TYMS","KIF11",912
"TYMS","CHEK1",931
"TYMS","AURKB",937
"TYMS","PPCDC",847
"TYMS","NT5E",940
"TYMS","DPYD",891
"TYMS","CDA",673
"TYMS","RRM1",983
"TYMS","BIRC5",862
"TYMS","NT5M",920
"NDUFS8","NDUFA9",999
"NDUFS8","NDUFA2",999
"NDUFS8","AFG3L2",772
"NDUFS8","NDUFB8",996
"NDUFS8","NDUFA8",999
"NDUFS8","NDUFV1",999
"NDUFS8","NDUFA7",999
"NDUFS8","NDUFA10",999
"NDUFS8","NDUFB5",998
"NDUFS8","NDUFA13",999
"NDUFS8","PDHB",718
"NDUFS8","NDUFA1",994
"NDUFS8","SDHD",766
"NDUFS8","NDUFB10",999
"NDUFS8","NDUFB3",996
"NDUFS8","NDUFB6",999
"NDUFS8","NDUFB2",993
"NDUFS8","NDUFS5",999
"NDUFS8","NDUFA11",999
"NDUFS8","NDUFB1",991
"NDUFS8","NDUFS4",999
"NDUFS8","NDUFA12",999
"NDUFS8","SDHB",972
"HTR1A","DDC",669
"HTR1A","MAOA",772
"HTR1A","SLC18A2",721
"HTR1A","SLC6A4",982
"HTR1A","DBH",666
"HTR1A","GRM5",673
"HTR1A","COMT",661
"HTR1A","KCNJ3",662
"FARS2","LARS",803
"FARS2","AARS",918
"FARS2","IARS",803
"FARS2","GARS",813
"FARS2","HARS",783
"FARS2","YARS",935
"FARS2","YARS2",907
"FARS2","KARS",876
"FARS2","LARS2",909
"FARS2","EARS2",880
"FARS2","ASS1",772
"HSD11B2","CYP11B1",974
"HSD11B2","HPGD",772
"HSD11B2","CYP17A1",669
"LEPREL1","PPIB",695
"ACSS1","ALDH3A1",927
"ACSS1","HIBADH",824
"ACSS1","PCK1",843
"ACSS1","ALDH3B2",931
"ACSS1","SUCLG2",836
"ACSS1","ALDH1B1",792
"ACSS1","PCCB",917
"ACSS1","ALDH6A1",923
"ACSS1","ACACB",950
"ACSS1","PCCA",922
"ACSS1","FASN",673
"ACSS1","ACSS2",910
"ACSS1","PDHA2",833
"ACSS1","ACAT1",941
"ACSS1","PC",905
"ACSS1","ALDH2",946
"ACSS1","PDHB",888
"MET","RHOA",973
"MET","PDGFD",678
"MET","SRC",982
"MET","LAMC1",913
"MET","IRS1",893
"MET","LAMA1",904
"MET","PIK3CD",838
"MET","CASP3",815
"MET","CTNNB1",994
"MET","HRAS",982
"MET","LAMA5",907
"MET","PDGFB",726
"MET","TP53",738
"MET","PTK2",865
"MET","PIK3R1",971
"MET","PLAUR",944
"MET","CD44",993
"MET","IGF1",823
"MET","PTPN1",981
"MET","PGF",745
"MET","PIK3CB",854
"MET","PTPN11",989
"GLS","ALDH4A1",920
"GLS","GAD2",933
"GLS","GLS2",807
"GLS","GLUL",974
"GLS","FTCD",804
"GLS","EARS2",805
"GLS","GCLM",845
"GLS","GCSH",809
"ADRBK2","CCR5",725
"ADRBK2","CCR2",662
"ADRBK2","ADRB2",847
"ADRBK2","F2R",917
"ADRBK2","ADRBK1",947
"PIPOX","CRAT",915
"PIPOX","ALAS2",919
"PIPOX","AGXT",987
"PIPOX","HSD17B4",934
"PIPOX","IDE",901
"PIPOX","CAT",927
"PIPOX","PECR",967
"PIPOX","GNMT",917
"PIPOX","SHMT1",948
"PIPOX","HMGCL",905
"EEA1","CTSD",696
"EEA1","ERBB2",850
"TUBA3E","TUBB6",858
"TUBA3E","TUBB3",885
"TUBA3E","TUBB2A",919
"TUBA3E","PRNP",687
"BACE1","MME",728
"BACE1","CDK5",698
"BACE1","ACHE",695
"BACE1","PRNP",825
"BACE1","APOE",801
"BACE1","IDE",817
"BACE1","FURIN",968
"BACE1","PSENEN",859
"TUBB6","TUBA1C",958
"TUBB6","TUBA3E",858
"TUBB6","TUBA1B",949
"TUBB6","TUBA1A",956
"TPO","DDC",914
"TPO","GOT1",912
